Date,PredictedTemperature
2013-09-01,25.118477
2013-10-01,22.908401
2013-11-01,19.116804
2013-12-01,15.78761
2014-01-01,15.236426
2014-02-01,17.602734
2014-03-01,21.69976
2014-04-01,25.156244
2014-05-01,27.264997
2014-06-01,26.837805
2014-07-01,25.606073
2014-08-01,25.000782
