Date,Temperature,Type
1900-01-01,15.814029411764707,Historical
1900-02-01,18.046852941176468,Historical
1900-03-01,22.585764705882355,Historical
1900-04-01,24.98988235294118,Historical
1900-05-01,27.044617647058825,Historical
1900-06-01,27.67241176470588,Historical
1900-07-01,26.231470588235293,Historical
1900-08-01,25.61273529411765,Historical
1900-09-01,24.593264705882355,Historical
1900-10-01,22.567323529411766,Historical
1900-11-01,19.976558823529412,Historical
1900-12-01,16.69264705882353,Historical
1901-01-01,14.743558823529412,Historical
1901-02-01,17.030264705882352,Historical
1901-03-01,21.628235294117648,Historical
1901-04-01,25.02235294117647,Historical
1901-05-01,27.098823529411764,Historical
1901-06-01,27.650823529411767,Historical
1901-07-01,26.271058823529412,Historical
1901-08-01,25.36844117647059,Historical
1901-09-01,24.99870588235294,Historical
1901-10-01,23.672794117647058,Historical
1901-11-01,19.702970588235296,Historical
1901-12-01,16.12438235294118,Historical
1902-01-01,16.18341176470588,Historical
1902-02-01,18.084176470588233,Historical
1902-03-01,22.76214705882353,Historical
1902-04-01,25.016029411764706,Historical
1902-05-01,27.381117647058822,Historical
1902-06-01,27.210735294117647,Historical
1902-07-01,25.86105882352941,Historical
1902-08-01,25.765382352941177,Historical
1902-09-01,24.690382352941178,Historical
1902-10-01,22.634470588235295,Historical
1902-11-01,19.086117647058824,Historical
1902-12-01,15.671529411764705,Historical
1903-01-01,15.325617647058824,Historical
1903-02-01,16.939911764705883,Historical
1903-03-01,20.80458823529412,Historical
1903-04-01,24.807882352941178,Historical
1903-05-01,27.033882352941177,Historical
1903-06-01,27.524029411764705,Historical
1903-07-01,26.325264705882354,Historical
1903-08-01,25.149558823529414,Historical
1903-09-01,24.89170588235294,Historical
1903-10-01,22.896676470588233,Historical
1903-11-01,18.79958823529412,Historical
1903-12-01,15.41794117647059,Historical
1904-01-01,15.215235294117647,Historical
1904-02-01,17.49705882352941,Historical
1904-03-01,21.343617647058824,Historical
1904-04-01,25.21714705882353,Historical
1904-05-01,26.696323529411767,Historical
